index,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,maxAge,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn
EQR,,17.336,,0.43528,29.26,0.39663923,,1.45,,375016000,-,,,28.334,5957023,0.0159,,1609372800,0.92511004,1055641984,2.823,0.603,0.18703341,3.2468061,0.017070001,1672444800,,1632960000,3.97,2021-12-15,370122260,0.816523,42165538816,2,,2001-10-12,2:1,,2021-12-31,,3.732,,1642118400,5.82,,63.444828,1,,0.0219,4461334,,,
ESS,,18.652,,0.2984,29.004,0.33562994,,5.18,,65087800,-,,,91.413,968087,0.0149,,1609372800,0.97897005,447424992,6.87,2.09,0.18703341,3.6955357,0.011820001,1672444800,,1632960000,3.25,2021-12-15,64610086,0.746578,27966978048,2,,-,,,2021-12-31,,0.607,,1642118400,6.46,,65.21622,1,,0.0178,770359,,,
EL,,6.87,,0.17829001,29.607,0.26707423,,8.5,,231704992,-,,,16.861,1858197,0.0052,,1625011200,0.90963995,3039000064,8.248,0.6,0.18703341,18.87047,0.00737,1688083200,,1632960000,1.56,2021-12-15,230377131,1.019766,117095997440,2,,2012-01-23,2:1,,2021-11-29,,0.323,,1642118400,2.97,,37.43235,1,,0.0081,2726193,359947008,,
ETSY,,9.328,,0.21553,38.118,-0.27567,,3.53,,126781000,-,,,4.218,8236343,0.065,,1609372800,0.91227996,480488000,3.367,,0.18703341,33.340446,0.00704,1672444800,,1632960000,3.57,2021-12-15,125878066,1.545869,20795934720,2,,-,,,-,,-0.02,,1642118400,1.11,,39.838528,1,,0.0734,8839604,,,
RE,,0.981,,0.08793,,0.32784212,,29.59,,39369000,-,,,253.398,555406,0.014099999,,1609372800,0.98103,998641024,25.297,1.55,0.18703341,1.1343815,0.01554,1672444800,,1632960000,2.73,2021-12-15,38746995,0.698428,11286545408,2,,-,,,2021-11-30,,,,1642118400,0.18,,9.714431,1,,0.0143,460231,,,
EVRG,,4.597,,0.15782,11.225,0.20339298,,3.53,,229303008,-,,,40.636,3067219,0.0134000005,,1609372800,0.92598,877299968,3.836,0.573,0.18703341,1.617162,0.00279,1672444800,,1632960000,2.7,2021-12-15,228511606,0.450076,25554589696,2,,1987-05-22,2:1,,2021-11-18,,0.233,,1642118400,3.54,,18.616146,1,,0.0152,2968989,,,
ES,,5.227,,0.12332,15.851,-0.00034093857,,4.11,,343806016,-,,,41.922,3639756,0.0106,,1609372800,0.81581,1185752064,3.442,0.603,0.18703341,2.111302,0.00329,1672444800,,1632960000,2.94,2021-12-15,342740014,0.421692,50261639168,2,,-,,,2021-12-16,,-0.182,,1642118400,3.69,,21.53528,1,,0.012,3590567,,,
EXC,,2.749,,0.048060004,9.346,0.36134648,,3.26,,979500032,-,,,34.601,13024766,0.013300001,,1609372800,0.81602997,1674000000,1.71,0.383,0.18703341,1.2347908,0.00281,1672444800,,1632960000,1.92,2021-12-15,976419850,0.496198,95728115712,2,,2004-05-06,2:1,,2021-11-12,,1.401,,1642118400,-44.04,,13.105827,1,,0.013300001,12800952,,,
EXPE,,4.64,,-0.10457,-302.635,0.35803008,,7.09,,150204000,-,,,10.585,9455009,0.060700003,,1609372800,0.96769,-957000000,-6.512,0.34,0.18703341,17.647615,0.0083,1672444800,,1632960000,4.53,2021-12-15,133717079,1.633046,33592500224,2,,2011-12-21,1:2,,2020-03-09,,,,1642118400,11.15,,26.346968,1,,0.0735,7705753,155728000,,
EXPD,,1.232,,0.07932,11.129,0.2564497,,6.39,,169404000,-,,,20.174,4080332,0.0241,,1609372800,0.93864,1161280000,6.758,0.58,0.18703341,5.69545,0.00599,1672444800,,1632960000,3.81,2021-12-15,168536474,0.803852,18032496640,2,,2006-06-26,2:1,,2021-11-30,,0.877,,1642118400,1.93,,17.981222,1,,0.0311,3747668,,,
